prolificId,taskId,visType,responseType,value
5a3adffa05f005000104d2aa,S-task6,nodeLink,difficulty,2
5a3adffa05f005000104d2aa,S-task6,nodeLink,confidence,6
5a3adffa05f005000104d2aa,S-task6,nodeLink,minutesToComplete,0.65
5a3adffa05f005000104d2aa,S-task7,nodeLink,nodeAnswer,Tamara
5a3adffa05f005000104d2aa,S-task7,nodeLink,accuracy,0.8
5a3adffa05f005000104d2aa,S-task7,nodeLink,correct,0
5a3adffa05f005000104d2aa,S-task7,nodeLink,difficulty,2
5a3adffa05f005000104d2aa,S-task7,nodeLink,confidence,6
5a3adffa05f005000104d2aa,S-task7,nodeLink,minutesToComplete,0.6
5a3adffa05f005000104d2aa,S-task8,nodeLink,nodeAnswer,
5a3adffa05f005000104d2aa,S-task8,nodeLink,valueAnswer,4
5a3adffa05f005000104d2aa,S-task8,nodeLink,valueAnswer,Mentions
5a3adffa05f005000104d2aa,S-task8,nodeLink,accuracy,1
5a3adffa05f005000104d2aa,S-task8,nodeLink,correct,1
5a3adffa05f005000104d2aa,S-task8,nodeLink,difficulty,2
5a3adffa05f005000104d2aa,S-task8,nodeLink,confidence,6
5a3adffa05f005000104d2aa,S-task8,nodeLink,minutesToComplete,0.55
5a3adffa05f005000104d2aa,S-task9,nodeLink,nodeAnswer,Klaus
5a3adffa05f005000104d2aa,S-task9,nodeLink,nodeAnswer,Lonni
5a3adffa05f005000104d2aa,S-task9,nodeLink,nodeAnswer,Thomas
5a3adffa05f005000104d2aa,S-task9,nodeLink,nodeAnswer,Anna
5a3adffa05f005000104d2aa,S-task9,nodeLink,accuracy,1
5a3adffa05f005000104d2aa,S-task9,nodeLink,correct,1
5a3adffa05f005000104d2aa,S-task9,nodeLink,difficulty,1
5a3adffa05f005000104d2aa,S-task9,nodeLink,confidence,6
5a3adffa05f005000104d2aa,S-task9,nodeLink,minutesToComplete,0.5166666666666667
5a3adffa05f005000104d2aa,S-task9A,nodeLink,nodeAnswer,Anna
5a3adffa05f005000104d2aa,S-task9A,nodeLink,accuracy,1
5a3adffa05f005000104d2aa,S-task9A,nodeLink,correct,1
5a3adffa05f005000104d2aa,S-task9A,nodeLink,difficulty,1
5a3adffa05f005000104d2aa,S-task9A,nodeLink,confidence,6
5a3adffa05f005000104d2aa,S-task9A,nodeLink,minutesToComplete,0.55
